lexeme,sub_trait,subtrait_id
belajar,c_achievement,11
gue_beranikan_diri,c_achievement,11
saya_beranikan_diri,c_achievement,11
nambah_ilmu,c_achievement,11
mempelajari,c_achievement,11
bereksperimen,c_achievement,11
mencoba_suatu_hal,c_achievement,11
gue_coba,c_achievement,11
saya_coba,c_achievement,11
aku_coba,c_achievement,11
aku_bisa,c_achievement,11
membantu_perjuangan,c_achievement,11
usaha,c_achievement,11
bertukar_keringat,c_achievement,11
pengen_tau_lebih,c_achievement,11
aku_akan,c_achievement,11
aku_akan_selalu,c_achievement,11
aku_mau,c_achievement,11
aku_ingin,c_achievement,11
kepengen,c_achievement,11
bersiap_menuju,c_achievement,11
keinginan,c_achievement,11
berusaha,c_achievement,11
bisa_maju,c_achievement,11
bisa_lebih_baik,c_achievement,11
gak_akan_malas,c_achievement,11
supaya_rajin,c_achievement,11
ingin,c_achievement,11
ingin_memanfaatkan,c_achievement,11
kita_akan_datang,c_achievement,11
kepastian,c_achievement,11
kok_pengen,c_achievement,11
kuperlu,c_achievement,11
gw_perlu,c_achievement,11
saya_perlu,c_achievement,11
lihat_saja_nanti,c_achievement,11
serius,c_achievement,11
mau_menikmati,c_achievement,11
mau_ngelanjutin,c_achievement,11
mau_makan,c_achievement,11
minggu_depan,c_achievement,11
ngusahain,c_achievement,11
niat_amat,c_achievement,11
pengen_bikin,c_achievement,11
pingin,c_achievement,11
pingin_banget,c_achievement,11
pingin_belajar,c_achievement,11
pingin_lihat,c_achievement,11
pingin_makan_enak,c_achievement,11
rasanya_pingin,c_achievement,11
sudah_siap,c_achievement,11
tahun_mendatang,c_achievement,11
fokus,c_achievement,11
tapi_pasti,c_achievement,11
tekun,c_achievement,11
untuk_dikoleksi,c_achievement,11
ya_harus_bener,c_achievement,11
bangga_w,c_achievement,11
suka_dagang,c_achievement,11
terpacu_untuk_mulai,c_achievement,11
aku_menemukan_emina,c_achievement,11
rajin_kerja,c_achievement,11
meraih_kesuksesan,c_achievement,11
mencapai_target,c_achievement,11
perjuangan_banget,c_achievement,11
latian_dulu,c_achievement,11
kejar_mimpi,c_achievement,11
turnamen,c_achievement,11
paham,c_achievement,11
ngerti,c_achievement,11
berpikir_lebih_keras,c_achievement,11
kontribusi,c_achievement,11
semaksimal_mungkin,c_achievement,11
siap,c_achievement,11
mangkrak,c_achievement,11
berhenti_ditengah_jalan,c_achievement,11
cari_uang,c_achievement,11
bekerja,c_achievement,11
terus_berkorban,c_achievement,11
berjuang,c_achievement,11
perjuangan,c_achievement,11
siap_pak,c_achievement,11
kesiapan,c_achievement,11
bekerja_sama,c_achievement,11
sungguh2,c_achievement,11
mengubah_nasib,c_achievement,11
capai_kemenangan,c_achievement,11
menang,c_achievement,11
harus_diperjuangkan,c_achievement,11
mencapai,c_achievement,11
mampu_penuhi,c_achievement,11
mampu_memenuhi,c_achievement,11
secara_optimal,c_achievement,11
bekerja_keras,c_achievement,11
mencapai_tujuan,c_achievement,11
kerja_keras,c_achievement,11
biar_saya_coba,c_achievement,11
kita_coba,c_achievement,11
mencoba_hal_baru,c_achievement,11
dikerjain_bareng,c_achievement,11
dikerjakan_bersama,c_achievement,11
siap_siap,c_achievement,11
tercapai,c_achievement,11
meperjuangin,c_achievement,11
memperjuangkan,c_achievement,11
harus,c_achievement,11
menapaki,c_achievement,11
menjajaki,c_achievement,11
semangat,c_achievement,11
udah_usaha,c_achievement,11
sudah_berusaha,c_achievement,11
berkali-kali,c_achievement,11
berulang_kali,c_achievement,11
habis2an,c_achievement,11
sekuat_tenaga,c_achievement,11
lanjut_terus,c_achievement,11
kuras_tenaga,c_achievement,11
masih_terjaga,c_achievement,11
mati_matian,c_achievement,11
bersusah_payah,c_achievement,11
kita_perjuangkan,c_achievement,11
sampai_kapanpun,c_achievement,11
selamanya,c_achievement,11
mau_paham,c_achievement,11
ingin_memahami,c_achievement,11
lulus,c_achievement,11
melamar_kerja,c_achievement,11
kesampean,c_achievement,11
berkembang,c_achievement,11
lembur,c_achievement,11
berkarir,c_achievement,11
mau_coba,c_achievement,11
ingin_mencoba,c_achievement,11
lebih_rajin,c_achievement,11
cape,c_achievement,11
lelah,c_achievement,11
serba_sulit,c_achievement,11
susah,c_achievement,11
bangga,c_achievement,11
nggak_capai,c_achievement,11
capai,c_achievement,11
upaya,c_achievement,11
kekuasaan,c_achievement,11
medan_perang,c_achievement,11
mengujiku,c_achievement,11
uji,c_achievement,11
pendidikan_terbaik,c_achievement,11
tidak_ada_kayu,c_achievement,11
tidak_ada_modal,c_achievement,11
jenjang_dikeping,c_achievement,11
dijual,c_achievement,11
prestasi,c_achievement,11
tekat,c_achievement,11
tekad,c_achievement,11
peningkatan_signifikan,c_achievement,11
nyantri,c_achievement,11
pasti_bisa,c_achievement,11
mendorong_perbaikan,c_achievement,11
mencapai_perubahan,c_achievement,11
upaya_konkret,c_achievement,11
pembangkangan,c_achievement,11
melawan,c_achievement,11
memberontak,c_achievement,11
didobrak,c_achievement,11
dilawan,c_achievement,11
menyelesaikan,c_achievement,11
demi,c_achievement,11
pertarungan,c_achievement,11
perlawanan,c_achievement,11
rajin_belajar,c_achievement,11
rajin_menabung,c_achievement,11
ambisi,c_achievement,11
bekerja_serius,c_achievement,11
perantauan,c_achievement,11
rantau,c_achievement,11
bangkit,c_achievement,11
tawakkal,c_achievement,11
ambisius,c_achievement,11
tumbuh,c_achievement,11
latihan,c_achievement,11
duit_mulu,c_achievement,11
mencari_uang,c_achievement,11
cepet_lulus,c_achievement,11
segera_lulus,c_achievement,11
penghasilan,c_achievement,11
pendapatan,c_achievement,11
rajin,c_achievement,11
perjalanan_hidup,c_achievement,11
kerjasama,c_achievement,11
terus_berjuang,c_achievement,11
ihktiar,c_achievement,11
harapan,c_achievement,11
berproduksi,c_achievement,11
pengembangan,c_achievement,11
berupaya,c_achievement,11
dicapai,c_achivement-striving,13
berat_banget,c_achivement-striving,13
berat_sekali,c_achivement-striving,13
menguji,c_achivement-striving,13
benar_benar,c_achivement-striving,13
bersungguh_sungguh,c_achivement-striving,13
bertekad,c_achivement-striving,13
gigih,c_achivement-striving,13
totalitas,c_achivement-striving,13
capaian,c_achivement-striving,13
target,c_achivement-striving,13
balap,o_actions,48
ngangkat,o_actions,48
coba,o_actions,48
rilis,o_actions,48
pengalaman,o_actions,48
nunjukkin,o_actions,48
kasih_liat,o_actions,48
foto,o_actions,48
baru_punya,o_actions,48
kreator,o_actions,48
pesat,o_actions,48
goyang,o_actions,48
postingan,o_actions,48
promo,o_actions,48
mau_bilang,o_actions,48
perebutan,o_actions,48
tawar_menawar,o_actions,48
percepatan,o_actions,48
partisipasi,o_actions,48
melangkah,o_actions,48
rintangan,o_actions,48
pemberantasan,o_actions,48
nyobain,o_actions,48
dibetulin,o_actions,48
sempet_ikutan,o_actions,48
patungan,o_actions,48
belum_tidur,o_actions,48
mencoba,o_actions,48
dateng_dulu,o_actions,48
beliin,o_actions,48
memasuki,o_actions,48
dirilis,o_actions,48
nambahin,o_actions,48
kabar_kabarin,o_actions,48
gue_cek,o_actions,48
bikin_konten,o_actions,48
petualangan,o_actions,48
ambil_keputusan,o_actions,48
nurunin,o_actions,48
nyoba,o_actions,48
berurusan,o_actions,48
ngelakuin,o_actions,48
paduin,o_actions,48
adaptasi,o_actions,48
beli_lagi,o_actions,48
kritisi,o_actions,48
deklarasi,o_actions,48
dibaca,o_actions,48
memenuhi,o_actions,48
sering,o_actions,48
terbit,o_actions,48
revolusi,o_actions,48
peran,o_actions,48
dukung,o_actions,48
melampaui,o_actions,48
ikutan_kontribusi,o_actions,48
ikutan,o_actions,48
konvoi,o_actions,48
ganti,o_actions,48
bawa_data,o_actions,48
msh,o_actions,48
diganti,o_actions,48
membantah,o_actions,48
ngikutin,o_actions,48
alih,o_actions,48
ramaikan,o_actions,48
urusin,o_actions,48
mendarat,o_actions,48
